Airline,Dest Latitude,Dest Longitude,Destination airport,Origin Latitude,Origin Longitude,Origin airport
AA,32.5347,-97.215,ABI,32.244,-99.4054,DFW
US,32.5347,-97.215,ABI,32.244,-99.4054,DFW
9K,42.2151,-71.018,ACK,41.151,-70.336,BOS
TJ,41.41,-73.4227,ACK,41.151,-70.336,HPN
TJ,40.5059,-74.339,ACK,41.151,-70.336,TEB
AA,32.5347,-97.215,ACT,31.364,-97.1349,DFW
US,32.5347,-97.215,ACT,31.364,-97.1349,DFW
NK,42.2151,-71.018,ACY,39.2727,-74.3437,BOS
NK,42.1244,-83.2112,ACY,39.2727,-74.3437,DTW
NK,26.421,-80.99,ACY,39.2727,-74.3437,FLL
UA,29.5849,-95.2023,ACY,39.2727,-74.3437,IAH
NK,28.2544,-81.1857,ACY,39.2727,-74.3437,MCO
NK,33.4047,-78.5542,ACY,39.2727,-74.3437,MYR
NK,41.5846,-87.5416,ACY,39.2727,-74.3437,ORD
UA,41.5846,-87.5416,ACY,39.2727,-74.3437,ORD
NK,26.321,-81.4518,ACY,39.2727,-74.3437,RSW
NK,27.5831,-82.3159,ACY,39.2727,-74.3437,TPA
AF,33.3825,-84.2537,AEX,31.1938,-92.3254,ATL
DL,33.3825,-84.2537,AEX,31.1938,-92.3254,ATL
KL,33.3825,-84.2537,AEX,31.1938,-92.3254,ATL
AA,32.5347,-97.215,AEX,31.1938,-92.3254,DFW
US,32.5347,-97.215,AEX,31.1938,-92.3254,DFW
UA,29.5849,-95.2023,AEX,31.1938,-92.3254,IAH
AF,33.3825,-84.2537,AGS,33.2211,-81.5752,ATL
DL,33.3825,-84.2537,AGS,33.2211,-81.5752,ATL
KL,33.3825,-84.2537,AGS,33.2211,-81.5752,ATL
AA,35.125,-80.5635,AGS,33.2211,-81.5752,CLT
US,35.125,-80.5635,AGS,33.2211,-81.5752,CLT
AA,38.517,-77.215,AGS,33.2211,-81.5752,DCA
US,38.517,-77.215,AGS,33.2211,-81.5752,DCA
AF,33.3825,-84.2537,ALB,42.4453,-73.481,ATL
AM,33.3825,-84.2537,ALB,42.4453,-73.481,ATL
DL,33.3825,-84.2537,ALB,42.4453,-73.481,ATL
KL,33.3825,-84.2537,ALB,42.4453,-73.481,ATL
9K,42.2151,-71.018,ALB,42.4453,-73.481,BOS
FL,39.1031,-76.406,ALB,42.4453,-73.481,BWI
WN,39.1031,-76.406,ALB,42.4453,-73.481,BWI
UA,41.2442,-81.5059,ALB,42.4453,-73.481,CLE
