Mortality Rate,2013 Survival Rate,Cancer Type,Use Me,Gender,Number of Records,Race,Survival Rate,Year
0.441,,All cancers,females,females,1,All races,0.559,1977
0.45,,All cancers,females,females,1,All races,0.55,1980
0.449,,All cancers,females,females,1,All races,0.551,1983
0.424,,All cancers,females,females,1,All races,0.576,1986
0.404,,All cancers,females,females,1,All races,0.596,1989
0.391,,All cancers,females,females,1,All races,0.609,1992
0.382,,All cancers,females,females,1,All races,0.618,1995
0.364,,All cancers,females,females,1,All races,0.636,1998
0.343,,All cancers,females,females,1,All races,0.657,2001
0.331,,All cancers,females,females,1,All races,0.669,2006
0.309,0.691,All cancers,females,females,1,All races,0.691,2013
0.583,,All cancers,males,males,1,All races,0.417,1977
0.569,,All cancers,males,males,1,All races,0.431,1980
0.548,,All cancers,males,males,1,All races,0.452,1983
0.528,,All cancers,males,males,1,All races,0.472,1986
0.489,,All cancers,males,males,1,All races,0.511,1989
0.409,,All cancers,males,males,1,All races,0.591,1992
0.392,,All cancers,males,males,1,All races,0.608,1995
0.37,,All cancers,males,males,1,All races,0.63,1998
0.337,,All cancers,males,males,1,All races,0.663,2001
0.319,,All cancers,males,males,1,All races,0.681,2006
0.308,0.692,All cancers,males,males,1,All races,0.692,2013
0.511,,All cancers,total,total,1,All races,0.489,1977
0.51,,All cancers,total,total,1,All races,0.49,1980
0.498,,All cancers,total,total,1,All races,0.502,1983
0.476,,All cancers,total,total,1,All races,0.524,1986
0.447,,All cancers,total,total,1,All races,0.553,1989
0.401,,All cancers,total,total,1,All races,0.599,1992
0.387,,All cancers,total,total,1,All races,0.613,1995
0.367,,All cancers,total,total,1,All races,0.633,1998
0.34,,All cancers,total,total,1,All races,0.66,2001
0.325,,All cancers,total,total,1,All races,0.675,2006
0.308,0.692,All cancers,total,total,1,All races,0.692,2013
0.538,,All cancers,females,females,1,Black,0.462,1977
0.544,,All cancers,females,females,1,Black,0.456,1980
0.556,,All cancers,females,females,1,Black,0.444,1983
0.545,,All cancers,females,females,1,Black,0.455,1986
0.523,,All cancers,females,females,1,Black,0.477,1989
0.518,,All cancers,females,females,1,Black,0.482,1992
0.494,,All cancers,females,females,1,Black,0.506,1995
0.479,,All cancers,females,females,1,Black,0.521,1998
0.457,,All cancers,females,females,1,Black,0.543,2001
0.442,,All cancers,females,females,1,Black,0.558,2006
0.397,0.603,All cancers,females,females,1,Black,0.603,2013
0.673,,All cancers,males,males,1,Black,0.327,1977
0.667,,All cancers,males,males,1,Black,0.333,1980
0.658,,All cancers,males,males,1,Black,0.342,1983
0.645,,All cancers,males,males,1,Black,0.355,1986
0.611,,All cancers,males,males,1,Black,0.389,1989
0.524,,All cancers,males,males,1,Black,0.476,1992
0.455,,All cancers,males,males,1,Black,0.545,1995
0.421,,All cancers,males,males,1,Black,0.579,1998
0.389,,All cancers,males,males,1,Black,0.611,2001
0.364,,All cancers,males,males,1,Black,0.636,2006
0.341,0.659,All cancers,males,males,1,Black,0.659,2013
0.73,,All cancers,total,total,1,Black,0.27,1963
0.69,,All cancers,total,total,1,Black,0.31,1973
0.61,,All cancers,total,total,1,Black,0.39,1977
0.61,,All cancers,total,total,1,Black,0.39,1980
0.612,,All cancers,total,total,1,Black,0.388,1983
0.598,,All cancers,total,total,1,Black,0.402,1986
0.57,,All cancers,total,total,1,Black,0.43,1989
0.521,,All cancers,total,total,1,Black,0.479,1992
0.472,,All cancers,total,total,1,Black,0.528,1995
0.448,,All cancers,total,total,1,Black,0.552,1998
0.42,,All cancers,total,total,1,Black,0.58,2001
0.401,,All cancers,total,total,1,Black,0.599,2006
0.367,0.633,All cancers,total,total,1,Black,0.633,2013
0.435,,All cancers,females,females,1,White,0.565,1977
0.444,,All cancers,females,females,1,White,0.556,1980
0.44,,All cancers,females,females,1,White,0.56,1983
0.414,,All cancers,females,females,1,White,0.586,1986
0.394,,All cancers,females,females,1,White,0.606,1989
0.379,,All cancers,females,females,1,White,0.621,1992
0.372,,All cancers,females,females,1,White,0.628,1995
0.353,,All cancers,females,females,1,White,0.647,1998
0.332,,All cancers,females,females,1,White,0.668,2001
0.318,,All cancers,females,females,1,White,0.682,2006
0.299,0.701,All cancers,females,females,1,White,0.701,2013
0.573,,All cancers,males,males,1,White,0.427,1977
0.557,,All cancers,males,males,1,White,0.443,1980
0.534,,All cancers,males,males,1,White,0.466,1983
0.514,,All cancers,males,males,1,White,0.486,1986
0.472,,All cancers,males,males,1,White,0.528,1989
0.392,,All cancers,males,males,1,White,0.608,1992
0.38,,All cancers,males,males,1,White,0.62,1995
0.359,,All cancers,males,males,1,White,0.641,1998
0.325,,All cancers,males,males,1,White,0.675,2001
0.306,,All cancers,males,males,1,White,0.694,2006
0.299,0.701,All cancers,males,males,1,White,0.701,2013
0.61,,All cancers,total,total,1,White,0.39,1963
0.57,,All cancers,total,total,1,White,0.43,1973
0.502,,All cancers,total,total,1,White,0.498,1977
0.5,,All cancers,total,total,1,White,0.5,1980
0.487,,All cancers,total,total,1,White,0.513,1983
0.464,,All cancers,total,total,1,White,0.536,1986
0.433,,All cancers,total,total,1,White,0.567,1989
0.386,,All cancers,total,total,1,White,0.614,1992
0.376,,All cancers,total,total,1,White,0.624,1995
0.356,,All cancers,total,total,1,White,0.644,1998
0.328,,All cancers,total,total,1,White,0.672,2001
0.312,,All cancers,total,total,1,White,0.688,2006
0.299,0.701,All cancers,total,total,1,White,0.701,2013
0.317,,Bladder,females,females,1,All races,0.683,1977
0.296,,Bladder,females,females,1,All races,0.704,1980
0.273,,Bladder,females,females,1,All races,0.727,1983
0.273,,Bladder,females,females,1,All races,0.727,1986
0.281,,Bladder,females,females,1,All races,0.719,1989
0.281,,Bladder,females,females,1,All races,0.719,1992
0.25,,Bladder,females,females,1,All races,0.75,1995
0.246,,Bladder,females,females,1,All races,0.754,1998
0.227,,Bladder,females,females,1,All races,0.773,2001
0.252,,Bladder,females,females,1,All races,0.748,2006
0.256,0.744,Bladder,females,females,1,All races,0.744,2013
0.263,,Bladder,males,males,1,All races,0.737,1977
0.249,,Bladder,males,males,1,All races,0.751,1980
0.219,,Bladder,males,males,1,All races,0.781,1983
0.219,,Bladder,males,males,1,All races,0.781,1986
0.187,,Bladder,males,males,1,All races,0.813,1989
0.183,,Bladder,males,males,1,All races,0.817,1992
0.179,,Bladder,males,males,1,All races,0.821,1995
0.196,,Bladder,males,males,1,All races,0.804,1998
0.191,,Bladder,males,males,1,All races,0.809,2001
0.181,,Bladder,males,males,1,All races,0.819,2006
0.208,0.792,Bladder,males,males,1,All races,0.792,2013
0.277,,Bladder,total,total,1,All races,0.723,1977
0.261,,Bladder,total,total,1,All races,0.739,1980
0.233,,Bladder,total,total,1,All races,0.767,1983
0.233,,Bladder,total,total,1,All races,0.767,1986
0.21,,Bladder,total,total,1,All races,0.79,1989
0.208,,Bladder,total,total,1,All races,0.792,1992
0.198,,Bladder,total,total,1,All races,0.802,1995
0.209,,Bladder,total,total,1,All races,0.791,1998
0.2,,Bladder,total,total,1,All races,0.8,2001
0.199,,Bladder,total,total,1,All races,0.801,2006
0.22,0.78,Bladder,total,total,1,All races,0.78,2013
0.76,,Bladder,females,females,1,Black,0.24,1963
0.73,,Bladder,females,females,1,Black,0.27,1973
0.619,,Bladder,females,females,1,Black,0.381,1977
0.599,,Bladder,females,females,1,Black,0.401,1980
0.53,,Bladder,females,females,1,Black,0.47,1983
0.472,,Bladder,females,females,1,Black,0.528,1986
0.471,,Bladder,females,females,1,Black,0.529,1989
0.415,,Bladder,females,females,1,Black,0.585,1992
0.538,,Bladder,females,females,1,Black,0.462,1995
0.44,,Bladder,females,females,1,Black,0.56,1998
0.4,,Bladder,females,females,1,Black,0.6,2001
0.442,,Bladder,females,females,1,Black,0.558,2006
0.438,0.562,Bladder,females,females,1,Black,0.562,2013
0.76,,Bladder,males,males,1,Black,0.24,1963
0.62,,Bladder,males,males,1,Black,0.38,1973
0.435,,Bladder,males,males,1,Black,0.565,1977
0.374,,Bladder,males,males,1,Black,0.626,1980
0.351,,Bladder,males,males,1,Black,0.649,1983
0.377,,Bladder,males,males,1,Black,0.623,1986
0.325,,Bladder,males,males,1,Black,0.675,1989
0.343,,Bladder,males,males,1,Black,0.657,1992
0.322,,Bladder,males,males,1,Black,0.678,1995
0.344,,Bladder,males,males,1,Black,0.656,1998
0.282,,Bladder,males,males,1,Black,0.718,2001
0.317,,Bladder,males,males,1,Black,0.683,2006
0.3,0.7,Bladder,males,males,1,Black,0.7,2013
0.76,,Bladder,total,total,1,Black,0.24,1963
0.64,,Bladder,total,total,1,Black,0.36,1973
0.497,,Bladder,total,total,1,Black,0.503,1977
0.455,,Bladder,total,total,1,Black,0.545,1980
0.405,,Bladder,total,total,1,Black,0.595,1983
0.406,,Bladder,total,total,1,Black,0.594,1986
0.374,,Bladder,total,total,1,Black,0.626,1989
0.369,,Bladder,total,total,1,Black,0.631,1992
0.394,,Bladder,total,total,1,Black,0.606,1995
0.373,,Bladder,total,total,1,Black,0.627,1998
0.325,,Bladder,total,total,1,Black,0.675,2001
0.362,,Bladder,total,total,1,Black,0.638,2006
0.346,0.654,Bladder,total,total,1,Black,0.654,2013
0.47,,Bladder,females,females,1,White,0.53,1963
0.4,,Bladder,females,females,1,White,0.6,1973
0.297,,Bladder,females,females,1,White,0.703,1977
0.277,,Bladder,females,females,1,White,0.723,1980
0.26,,Bladder,females,females,1,White,0.74,1983
0.264,,Bladder,females,females,1,White,0.736,1986
0.269,,Bladder,females,females,1,White,0.731,1989
0.269,,Bladder,females,females,1,White,0.731,1992
0.231,,Bladder,females,females,1,White,0.769,1995
0.241,,Bladder,females,females,1,White,0.759,1998
0.206,,Bladder,females,females,1,White,0.794,2001
0.24,,Bladder,females,females,1,White,0.76,2006
0.246,0.754,Bladder,females,females,1,White,0.754,2013
0.47,,Bladder,males,males,1,White,0.53,1963
0.39,,Bladder,males,males,1,White,0.61,1973
0.257,,Bladder,males,males,1,White,0.743,1977
0.246,,Bladder,males,males,1,White,0.754,1980
0.214,,Bladder,males,males,1,White,0.786,1983
0.216,,Bladder,males,males,1,White,0.784,1986
0.181,,Bladder,males,males,1,White,0.819,1989
0.174,,Bladder,males,males,1,White,0.826,1992
0.175,,Bladder,males,males,1,White,0.825,1995
0.189,,Bladder,males,males,1,White,0.811,1998
0.185,,Bladder,males,males,1,White,0.815,2001
0.174,,Bladder,males,males,1,White,0.826,2006
0.204,0.796,Bladder,males,males,1,White,0.796,2013
0.47,,Bladder,total,total,1,White,0.53,1963
0.39,,Bladder,total,total,1,White,0.61,1973
0.267,,Bladder,total,total,1,White,0.733,1977
0.253,,Bladder,total,total,1,White,0.747,1980
0.226,,Bladder,total,total,1,White,0.774,1983
0.228,,Bladder,total,total,1,White,0.772,1986
0.202,,Bladder,total,total,1,White,0.798,1989
0.198,,Bladder,total,total,1,White,0.802,1992
0.19,,Bladder,total,total,1,White,0.81,1995
0.202,,Bladder,total,total,1,White,0.798,1998
0.19,,Bladder,total,total,1,White,0.81,2001
0.191,,Bladder,total,total,1,White,0.809,2006
0.214,0.786,Bladder,total,total,1,White,0.786,2013
0.752,,Brain and nervous system,females,females,1,All races,0.248,1977
0.749,,Brain and nervous system,females,females,1,All races,0.251,1980
0.745,,Brain and nervous system,females,females,1,All races,0.255,1983
0.715,,Brain and nervous system,females,females,1,All races,0.285,1986
0.69,,Brain and nervous system,females,females,1,All races,0.31,1989
0.703,,Brain and nervous system,females,females,1,All races,0.297,1992
0.687,,Brain and nervous system,females,females,1,All races,0.313,1995
0.68,,Brain and nervous system,females,females,1,All races,0.32,1998
0.624,,Brain and nervous system,females,females,1,All races,0.376,2001
0.64,,Brain and nervous system,females,females,1,All races,0.36,2006
0.638,0.362,Brain and nervous system,females,females,1,All races,0.362,2013
0.793,,Brain and nervous system,males,males,1,All races,0.207,1977
0.776,,Brain and nervous system,males,males,1,All races,0.224,1980
0.77,,Brain and nervous system,males,males,1,All races,0.23,1983
0.744,,Brain and nervous system,males,males,1,All races,0.256,1986
0.727,,Brain and nervous system,males,males,1,All races,0.273,1989
0.695,,Brain and nervous system,males,males,1,All races,0.305,1992
0.671,,Brain and nervous system,males,males,1,All races,0.329,1995
0.694,,Brain and nervous system,males,males,1,All races,0.306,1998
0.691,,Brain and nervous system,males,males,1,All races,0.309,2001
0.656,,Brain and nervous system,males,males,1,All races,0.344,2006
0.663,0.337,Brain and nervous system,males,males,1,All races,0.337,2013
0.775,,Brain and nervous system,total,total,1,All races,0.225,1977
0.764,,Brain and nervous system,total,total,1,All races,0.236,1980
0.759,,Brain and nervous system,total,total,1,All races,0.241,1983
0.731,,Brain and nervous system,total,total,1,All races,0.269,1986
0.711,,Brain and nervous system,total,total,1,All races,0.289,1989
0.698,,Brain and nervous system,total,total,1,All races,0.302,1992
0.678,,Brain and nervous system,total,total,1,All races,0.322,1995
0.687,,Brain and nervous system,total,total,1,All races,0.313,1998
0.662,,Brain and nervous system,total,total,1,All races,0.338,2001
0.649,,Brain and nervous system,total,total,1,All races,0.351,2006
0.641,0.359,Brain and nervous system,total,total,1,All races,0.359,2013
0.79,,Brain and nervous system,females,females,1,Black,0.21,1963
0.81,,Brain and nervous system,females,females,1,Black,0.19,1973
0.653,,Brain and nervous system,females,females,1,Black,0.347,1977
0.725,,Brain and nervous system,females,females,1,Black,0.275,1980
0.708,,Brain and nervous system,females,females,1,Black,0.292,1983
0.709,,Brain and nervous system,females,females,1,Black,0.291,1986
0.707,,Brain and nervous system,females,females,1,Black,0.293,1989
0.619,,Brain and nervous system,females,females,1,Black,0.381,1992
0.632,,Brain and nervous system,females,females,1,Black,0.368,1995
0.617,,Brain and nervous system,females,females,1,Black,0.383,1998
0.549,,Brain and nervous system,females,females,1,Black,0.451,2001
0.537,,Brain and nervous system,females,females,1,Black,0.463,2006
0.581,0.419,Brain and nervous system,females,females,1,Black,0.419,2013
0.83,,Brain and nervous system,males,males,1,Black,0.17,1963
0.81,,Brain and nervous system,males,males,1,Black,0.19,1973
0.804,,Brain and nervous system,males,males,1,Black,0.196,1977
0.713,,Brain and nervous system,males,males,1,Black,0.287,1980
0.683,,Brain and nervous system,males,males,1,Black,0.317,1983
0.672,,Brain and nervous system,males,males,1,Black,0.328,1986
0.663,,Brain and nervous system,males,males,1,Black,0.337,1989
0.598,,Brain and nervous system,males,males,1,Black,0.402,1992
0.539,,Brain and nervous system,males,males,1,Black,0.461,1995
0.664,,Brain and nervous system,males,males,1,Black,0.336,1998
0.666,,Brain and nervous system,males,males,1,Black,0.334,2001
0.658,,Brain and nervous system,males,males,1,Black,0.342,2006
0.581,0.419,Brain and nervous system,males,males,1,Black,0.419,2013
0.81,,Brain and nervous system,total,total,1,Black,0.19,1963
0.81,,Brain and nervous system,total,total,1,Black,0.19,1973
0.746,,Brain and nervous system,total,total,1,Black,0.254,1977
0.718,,Brain and nervous system,total,total,1,Black,0.282,1980
0.692,,Brain and nervous system,total,total,1,Black,0.308,1983
0.688,,Brain and nervous system,total,total,1,Black,0.312,1986
0.683,,Brain and nervous system,total,total,1,Black,0.317,1989
0.607,,Brain and nervous system,total,total,1,Black,0.393,1992
0.583,,Brain and nervous system,total,total,1,Black,0.417,1995
0.641,,Brain and nervous system,total,total,1,Black,0.359,1998
0.616,,Brain and nervous system,total,total,1,Black,0.384,2001
0.598,,Brain and nervous system,total,total,1,Black,0.402,2006
0.581,0.419,Brain and nervous system,total,total,1,Black,0.419,2013
0.79,,Brain and nervous system,females,females,1,White,0.21,1963
0.78,,Brain and nervous system,females,females,1,White,0.22,1973
0.759,,Brain and nervous system,females,females,1,White,0.241,1977
0.756,,Brain and nervous system,females,females,1,White,0.244,1980
0.754,,Brain and nervous system,females,females,1,White,0.246,1983
0.722,,Brain and nervous system,females,females,1,White,0.278,1986
0.692,,Brain and nervous system,females,females,1,White,0.308,1989
0.711,,Brain and nervous system,females,females,1,White,0.289,1992
0.697,,Brain and nervous system,females,females,1,White,0.303,1995
0.69,,Brain and nervous system,females,females,1,White,0.31,1998
0.635,,Brain and nervous system,females,females,1,White,0.365,2001
0.66,,Brain and nervous system,females,females,1,White,0.34,2006
0.65,0.35,Brain and nervous system,females,females,1,White,0.35,2013
0.84,,Brain and nervous system,males,males,1,White,0.16,1963
0.82,,Brain and nervous system,males,males,1,White,0.18,1973
0.798,,Brain and nervous system,males,males,1,White,0.202,1977
0.78,,Brain and nervous system,males,males,1,White,0.22,1980
0.776,,Brain and nervous system,males,males,1,White,0.224,1983
0.752,,Brain and nervous system,males,males,1,White,0.248,1986
0.737,,Brain and nervous system,males,males,1,White,0.263,1989
0.706,,Brain and nervous system,males,males,1,White,0.294,1992
0.687,,Brain and nervous system,males,males,1,White,0.313,1995
0.699,,Brain and nervous system,males,males,1,White,0.301,1998
0.696,,Brain and nervous system,males,males,1,White,0.304,2001
0.661,,Brain and nervous system,males,males,1,White,0.339,2006
