City,Nickname,Number of Records,Price per Ounce,Price,Size,Team,Year
Arizona,Diamondbacks,1,0.285714286,4,14,Arizona Diamondbacks,2013
Atlanta,Braves,1,0.453125,7.25,16,Atlanta Braves,2013
Baltimore,Orioles,1,0.375,6.75,18,Baltimore Orioles,2013
Boston,Red Sox,1,0.604166667,7.25,12,Boston Red Sox,2013
Chicago,Cubs,1,0.453125,7.25,16,Chicago Cubs,2013
Chicago,White Sox,1,0.40625,6.5,16,Chicago White Sox,2013
Cincinnati,Reds,1,0.458333333,5.5,12,Cincinnati Reds,2013
Cleveland,Indians,1,0.333333333,4,12,Cleveland Indians,2013
Colorado,Rockies,1,0.375,6,16,Colorado Rockies,2013
Detroit,Tigers,1,0.416666667,5,12,Detroit Tigers,2013
Houston,Astros,1,0.357142857,5,14,Houston Astros,2013
Kansas City,Royals,1,0.40625,6.5,16,Kansas City Royals,2013
Anaheim,Angels,1,0.28125,4.5,16,Los Angeles Angels,2013
Los Angeles,Dodgers,1,0.390625,6.25,16,Los Angeles Dodgers,2013
Miami,Marlins,1,0.4,8,20,Miami Marlins,2013
Milwaukee,Brewers,1,0.375,6,16,Milwaukee Brewers,2013
Minnesota,Twins,1,0.375,7.5,20,Minnesota Twins,2013
New York,Mets,1,0.479166667,5.75,12,New York Mets,2013
New York,Yankees,1,0.5,6,12,New York Yankees,2013
Oakland,Athletics,1,0.357142857,5,14,Oakland Athletics,2013
Philadelphia,Phillies,1,0.369047619,7.75,21,Philadelphia Phillies,2013
Pittsburgh,Pirates,1,0.34375,5.5,16,Pittsburgh Pirates,2013
San Diego,Padres,1,0.357142857,5,14,San Diego Padres,2013
San Francisco,Giants,1,0.421875,6.75,16,San Francisco Giants,2013
Seattle,Mariners,1,0.458333333,5.5,12,Seattle Mariners,2013
St. Louis,Cardinals,1,0.5625,6.75,12,St. Louis Cardinals,2013
Tampa,Rays,1,0.416666667,5,12,Tampa Bay Rays,2013
Arlington,Rangers,1,0.3125,5,16,Texas Rangers,2013
Toronto,Blue Jays,1,0.524285714,7.34,14,Toronto Blue Jays,2013
Washington,Nationals,1,0.515625,8.25,16,Washington Nationals,2013
,MLB Average,1,0.407216036,6.094666667,14.966666667,MLB Average,2013
Arizona,Diamondbacks,1,0.285714286,4,14,Arizona Diamondbacks,2014
Atlanta,Braves,1,0.453125,7.25,16,Atlanta Braves,2014
Baltimore,Orioles,1,0.421875,6.75,16,Baltimore Orioles,2014
Boston,Red Sox,1,0.645833333,7.75,12,Boston Red Sox,2014
Chicago,Cubs,1,0.46875,7.5,16,Chicago Cubs,2014
Chicago,White Sox,1,0.40625,6.5,16,Chicago White Sox,2014
Cincinnati,Reds,1,0.458333333,5.5,12,Cincinnati Reds,2014
Cleveland,Indians,1,0.333333333,4,12,Cleveland Indians,2014
Colorado,Rockies,1,0.375,6,16,Colorado Rockies,2014
Detroit,Tigers,1,0.416666667,5,12,Detroit Tigers,2014
Houston,Astros,1,0.357142857,5,14,Houston Astros,2014
Kansas City,Royals,1,0.40625,6.5,16,Kansas City Royals,2014
Anaheim,Angels,1,0.28125,4.5,16,Los Angeles Angels,2014
Los Angeles,Dodgers,1,0.3375,6.75,20,Los Angeles Dodgers,2014
Miami,Marlins,1,0.5,8,16,Miami Marlins,2014
Milwaukee,Brewers,1,0.375,6,16,Milwaukee Brewers,2014
Minnesota,Twins,1,0.375,7.5,20,Minnesota Twins,2014
New York,Mets,1,0.479166667,5.75,12,New York Mets,2014
New York,Yankees,1,0.5,6,12,New York Yankees,2014
Oakland,Athletics,1,0.416666667,5,12,Oakland Athletics,2014
Philadelphia,Phillies,1,0.369047619,7.75,21,Philadelphia Phillies,2014
Pittsburgh,Pirates,1,0.34375,5.5,16,Pittsburgh Pirates,2014
San Diego,Padres,1,0.357142857,5,14,San Diego Padres,2014
San Francisco,Giants,1,0.5,7,14,San Francisco Giants,2014
Seattle,Mariners,1,0.5,6,12,Seattle Mariners,2014
St. Louis,Cardinals,1,0.5625,6.75,12,St. Louis Cardinals,2014
Tampa,Rays,1,0.416666667,5,12,Tampa Bay Rays,2014
Arlington,Rangers,1,0.3125,5,16,Texas Rangers,2014
Toronto,Blue Jays,1,0.487142857,6.82,14,Toronto Blue Jays,2014
Washington,Nationals,1,0.40625,6.5,16,Washington Nationals,2014
,MLB Average,1,0.412121896,6.085666667,14.766666667,MLB Average,2014
Arizona,Diamondbacks,1,0.285714286,4,14,Arizona Diamondbacks,2015
Atlanta,Braves,1,0.453125,7.25,16,Atlanta Braves,2015
Baltimore,Orioles,1,0.421875,6.75,16,Baltimore Orioles,2015
Boston,Red Sox,1,0.645833333,7.75,12,Boston Red Sox,2015
Chicago,Cubs,1,0.46875,7.5,16,Chicago Cubs,2015
Chicago,White Sox,1,0.40625,6.5,16,Chicago White Sox,2015
Cincinnati,Reds,1,0.458333333,5.5,12,Cincinnati Reds,2015
Cleveland,Indians,1,0.333333333,4,12,Cleveland Indians,2015
Colorado,Rockies,1,0.375,6,16,Colorado Rockies,2015
Detroit,Tigers,1,0.416666667,5,12,Detroit Tigers,2015
Houston,Astros,1,0.357142857,5,14,Houston Astros,2015
