Account Id,Amount,Billing Country,Billing State,Number of Open Opportunities,Covid Risk,Cose Date,CreatedDate (User.csv),Created Date,Expected Amount,Forecast Category,Id (Account.csv),Id (OpportunityHistory.csv),Id (OpportunityLineItem.csv),Id (OpportunityStage.csv),Id (User.csv),Id,Industry,Is Closed,Last Modified Date,Manager Id,Master Label,Name (Account.csv),Name (User.csv),Name,Number of Records,OpportunityId (OpportunityLineItem.csv),Opportunity Id,Owner Id,Segment,SortOrder (OpportunityStage.csv),Sort Order,StageName (OpportunityHistory.csv),Stage Name,System Modstamp,Type
0011I00000EmeRNQAZ,50000,Japan,California,1,Safe,10/15/2020,12/28/2020 12:23:57 AM,12/28/2020 2:04:19 AM,25000,Pipeline,0011I00000EmeRNQAZ,0081I00000Y2u5sQAB,00k1I00000QHAcNQAX,01J1I00000FZz8cUAD,0051I000001qQ7DQAU,0061I000007S2a0QAC,Agriculture,False,1/2/2021 10:37:19 AM,0051I000000KVf7QAG,Value Proposition,Sapien PC,Rachel Stark,Sapien PC 11,1,0061I000007S2a0QAC,0061I000007S2a0QAC,0051I000001qQ7DQAU,Enterprise,4,,Value Proposition,Value Proposition,1/2/2021 10:37:20 AM,
0011I00000EmeRNQAZ,5000,Japan,California,1,Safe,12/14/2020,12/28/2020 12:23:57 AM,12/28/2020 2:04:19 AM,2500,Pipeline,0011I00000EmeRNQAZ,0081I00000Y2u5tQAB,00k1I00000QHAcPQAX,01J1I00000FZz8cUAD,0051I000001qQ7DQAU,0061I000007S2a2QAC,Agriculture,False,1/2/2021 10:37:19 AM,0051I000000KVf7QAG,Value Proposition,Sapien PC,Rachel Stark,Sapien PC 13,1,0061I000007S2a2QAC,0061I000007S2a2QAC,0051I000001qQ7DQAU,Enterprise,4,,Value Proposition,Value Proposition,1/2/2021 10:37:20 AM,
0011I00000EmeRNQAZ,85000,Japan,California,1,Safe,11/9/2020,12/28/2020 12:23:57 AM,12/28/2020 2:04:19 AM,51000,Pipeline,0011I00000EmeRNQAZ,0081I00000Y2u5uQAB,00k1I00000QHAcQQAX,01J1I00000FZz8fUAD,0051I000001qQ7DQAU,0061I000007S2a3QAC,Agriculture,False,1/2/2021 10:37:19 AM,0051I000000KVf7QAG,Id. Decision Makers,Sapien PC,Rachel Stark,Sapien PC 14,1,0061I000007S2a3QAC,0061I000007S2a3QAC,0051I000001qQ7DQAU,Enterprise,5,,Id. Decision Makers,Id. Decision Makers,1/2/2021 10:37:20 AM,
0011I00000EmeRMQAZ,20000,Japan,Alabama,1,Safe,10/14/2020,12/28/2020 12:23:57 AM,12/28/2020 2:04:19 AM,12000,Pipeline,0011I00000EmeRMQAZ,0081I00000Y2u5vQAB,00k1I00000QHAcRQAX,01J1I00000FZz8fUAD,0051I000001qQ7DQAU,0061I000007S2a4QAC,Apparel,False,1/2/2021 10:37:19 AM,0051I000000KVf7QAG,Id. Decision Makers,Sem Consequat Limited,Rachel Stark,Sem Consequat Limited 15,1,0061I000007S2a4QAC,0061I000007S2a4QAC,0051I000001qQ7DQAU,Commercial,5,,Id. Decision Makers,Id. Decision Makers,1/2/2021 10:37:20 AM,
0011I00000EmeRMQAZ,40000,Japan,Alabama,1,Safe,1/7/2021,12/28/2020 12:23:57 AM,12/28/2020 2:04:19 AM,24000,Pipeline,0011I00000EmeRMQAZ,0081I00000Y2u5wQAB,00k1I00000QHAcTQAX,01J1I00000FZz8fUAD,0051I000001qQ7DQAU,0061I000007S2a6QAC,Apparel,False,1/2/2021 10:37:19 AM,0051I000000KVf7QAG,Id. Decision Makers,Sem Consequat Limited,Rachel Stark,Sem Consequat Limited 2,1,0061I000007S2a6QAC,0061I000007S2a6QAC,0051I000001qQ7DQAU,Commercial,5,,Id. Decision Makers,Id. Decision Makers,1/2/2021 10:37:20 AM,
0011I00000EmeRMQAZ,15000,Japan,Alabama,1,Safe,1/1/2021,12/28/2020 12:23:57 AM,12/28/2020 2:04:19 AM,9000,Pipeline,0011I00000EmeRMQAZ,0081I00000Y2u5xQAB,00k1I00000QHAcUQAX,01J1I00000FZz8fUAD,0051I000001qQ7DQAU,0061I000007S2a7QAC,Apparel,False,1/2/2021 10:37:19 AM,0051I000000KVf7QAG,Id. Decision Makers,Sem Consequat Limited,Rachel Stark,Sem Consequat Limited 3,1,0061I000007S2a7QAC,0061I000007S2a7QAC,0051I000001qQ7DQAU,Commercial,5,,Id. Decision Makers,Id. Decision Makers,1/2/2021 10:37:20 AM,
0011I00000EmeRLQAZ,100000,Mexico,Oaxaca,1,Safe,10/29/2020,12/28/2020 12:29:53 AM,12/28/2020 2:04:19 AM,70000,Pipeline,0011I00000EmeRLQAZ,0081I00000Y2u5yQAB,00k1I00000QHAcWQAX,01J1I00000FZz8iUAD,0051I000001qQ7IQAU,0061I000007S2a9QAC,Apparel,False,1/2/2021 10:37:19 AM,0051I000000KVf7QAG,Perception Analysis,At Auctor Associates,Sean Barton,At Auctor Associates 5,1,0061I000007S2a9QAC,0061I000007S2a9QAC,0051I000001qQ7IQAU,Commercial,6,,Perception Analysis,Perception Analysis,1/2/2021 10:37:20 AM,
0011I00000EmeRLQAZ,30000,Mexico,Oaxaca,1,Safe,12/31/2020,12/28/2020 12:29:53 AM,12/28/2020 2:04:19 AM,21000,Pipeline,0011I00000EmeRLQAZ,0081I00000Y2u5zQAB,00k1I00000QHAcaQAH,01J1I00000FZz8iUAD,0051I000001qQ7IQAU,0061I000007S2aDQAS,Apparel,False,1/2/2021 10:37:19 AM,0051I000000KVf7QAG,Perception Analysis,At Auctor Associates,Sean Barton,At Auctor Associates 9,1,0061I000007S2aDQAS,0061I000007S2aDQAS,0051I000001qQ7IQAU,Commercial,6,,Perception Analysis,Perception Analysis,1/2/2021 10:37:20 AM,
0011I00000EmeRLQAZ,35000,Mexico,Oaxaca,1,Safe,11/2/2020,12/28/2020 12:29:53 AM,12/28/2020 2:04:19 AM,24500,Pipeline,0011I00000EmeRLQAZ,0081I00000Y2u60QAB,00k1I00000QHAcbQAH,01J1I00000FZz8iUAD,0051I000001qQ7IQAU,0061I000007S2aEQAS,Apparel,False,1/2/2021 10:37:19 AM,0051I000000KVf7QAG,Perception Analysis,At Auctor Associates,Sean Barton,At Auctor Associates 10,1,0061I000007S2aEQAS,0061I000007S2aEQAS,0051I000001qQ7IQAU,Commercial,6,,Perception Analysis,Perception Analysis,1/2/2021 10:37:20 AM,
0011I00000EmeRKQAZ,5000,United States,Texas,1,Safe,12/9/2020,12/28/2020 12:29:53 AM,12/28/2020 2:04:19 AM,3750,Pipeline,0011I00000EmeRKQAZ,0081I00000Y2u61QAB,00k1I00000QHAcgQAH,01J1I00000FZz8bUAD,0051I000001qQ7IQAU,0061I000007S2aJQAS,Banking,False,1/2/2021 10:37:19 AM,0051I000000KVf7QAG,Proposal/Price Quote,Vulputate Mauris Sagittis LLC,Sean Barton,Vulputate Mauris Sagittis LLC 15,1,0061I000007S2aJQAS,0061I000007S2aJQAS,0051I000001qQ7IQAU,Enterprise,7,,Proposal/Price Quote,Proposal/Price Quote,1/2/2021 10:37:20 AM,
