Index vs 50,Recession,Date (Worksheet1),Date,Index,Number of Records
1.7,True,,1/1/1948,51.7,1
0.200000000,True,,2/1/1948,50.2,1
-6.7,True,,3/1/1948,43.3,1
-4.6,True,,4/1/1948,45.4,1
-0.5,True,,5/1/1948,49.5,1
3,True,,6/1/1948,53,1
-1.6,True,,7/1/1948,48.4,1
-4.9,True,,8/1/1948,45.1,1
-7.9,True,,9/1/1948,42.1,1
-2.8,True,,10/1/1948,47.2,1
1,True,,10/1/1949,51,1
1,True,,11/1/1949,51,1
7.3,True,,12/1/1949,57.3,1
9.1,True,,1/1/1950,59.1,1
10.5,True,,2/1/1950,60.5,1
12.1,True,,3/1/1950,62.1,1
18.1,True,,4/1/1950,68.1,1
24.7,True,,5/1/1950,74.7,1
26.6,True,,6/1/1950,76.6,1
27.5,True,,7/1/1950,77.5,1
25.8,True,,8/1/1950,75.8,1
18.1,True,,9/1/1950,68.1,1
9.2,True,,10/1/1950,59.2,1
13.1,True,,11/1/1950,63.1,1
17.1,True,,12/1/1950,67.1,1
17.8,True,,1/1/1951,67.8,1
19.3,True,,2/1/1951,69.3,1
15.5,True,,3/1/1951,65.5,1
3.5,True,,4/1/1951,53.5,1
0.700000000,True,,5/1/1951,50.7,1
-4.5,True,,6/1/1951,45.5,1
-7.9,True,,7/1/1951,42.1,1
-6.4,True,,8/1/1951,43.6,1
-1.9,True,,9/1/1951,48.1,1
-0.400000000,True,,10/1/1951,49.6,1
-2.8,True,,11/1/1951,47.2,1
-3.5,True,,12/1/1951,46.5,1
-5.3,True,,1/1/1952,44.7,1
-8.2,True,,2/1/1952,41.8,1
-10,True,,3/1/1952,40,1
-13.3,True,,4/1/1952,36.7,1
-10.5,True,,5/1/1952,39.5,1
-6.7,True,,6/1/1952,43.3,1
-1.7,True,,7/1/1952,48.3,1
10.4,True,,8/1/1952,60.4,1
6.1,True,,9/1/1952,56.1,1
6.2,True,,10/1/1952,56.2,1
6.8,True,,11/1/1952,56.8,1
5.8,True,,12/1/1952,55.8,1
9.4,True,,1/1/1953,59.4,1
5.4,True,,2/1/1953,55.4,1
0.5,True,,3/1/1953,50.5,1
1.1,True,,4/1/1953,51.1,1
-1.1,True,,5/1/1953,48.9,1
-1.5,True,,6/1/1953,48.5,1
0.100000000,True,,5/1/1954,50.1,1
