years since ipo,Company Name (Full),Company Name,Growth Group,Net Income (2008),Number of Records,Revenue (2008),Revenue (Inflation Adjusted),Segment,Ticker,Year Founded,Year
0,Actuate Corporation,Actuate,Hot Company,13.58,1,130.99,0,Business Intelligence,ACTU,1993,1993
0,Informatica Corporation,Informatica,Hot Company,55.98,1,455.7,0,Business Intelligence,INFA,1993,1993
1,Actuate Corporation,Actuate,Hot Company,13.58,1,130.99,,Business Intelligence,ACTU,1993,1994
1,Informatica Corporation,Informatica,Hot Company,55.98,1,455.7,0.6535,Business Intelligence,INFA,1993,1994
2,Actuate Corporation,Actuate,Hot Company,13.58,1,130.99,0.0308,Business Intelligence,ACTU,1993,1995
2,Informatica Corporation,Informatica,Hot Company,55.98,1,455.7,0.8246,Business Intelligence,INFA,1993,1995
3,Actuate Corporation,Actuate,Hot Company,13.58,1,130.99,0.8854,Business Intelligence,ACTU,1993,1996
3,Informatica Corporation,Informatica,Hot Company,55.98,1,455.7,2.8016,Business Intelligence,INFA,1993,1996
4,Actuate Corporation,Actuate,Hot Company,13.58,1,130.99,12.7541,Business Intelligence,ACTU,1993,1997
4,Informatica Corporation,Informatica,Hot Company,55.98,1,455.7,16.214,Business Intelligence,INFA,1993,1997
5,Actuate Corporation,Actuate,Hot Company,13.58,1,130.99,28.871,Business Intelligence,ACTU,1993,1998
5,Informatica Corporation,Informatica,Hot Company,55.98,1,455.7,38.016,Business Intelligence,INFA,1993,1998
6,Actuate Corporation,Actuate,Hot Company,13.58,1,130.99,59.8797,Business Intelligence,ACTU,1993,1999
6,Informatica Corporation,Informatica,Hot Company,55.98,1,455.7,79.872,Business Intelligence,INFA,1993,1999
9,Actuate Corporation,Actuate,Hot Company,13.58,1,130.99,129.948,Business Intelligence,ACTU,1993,2002
0,MicroStrategy Incorporated,MicroStrategy,Hot Company,41.77,1,360.39,0,Business Intelligence,MSTR,1989,1989
1,MicroStrategy Incorporated,MicroStrategy,Hot Company,41.77,1,360.39,,Business Intelligence,MSTR,1989,1990
2,MicroStrategy Incorporated,MicroStrategy,Hot Company,41.77,1,360.39,,Business Intelligence,MSTR,1989,1991
3,MicroStrategy Incorporated,MicroStrategy,Hot Company,41.77,1,360.39,,Business Intelligence,MSTR,1989,1992
4,MicroStrategy Incorporated,MicroStrategy,Hot Company,41.77,1,360.39,6.0299,Business Intelligence,MSTR,1989,1993
5,MicroStrategy Incorporated,MicroStrategy,Hot Company,41.77,1,360.39,7.1214,Business Intelligence,MSTR,1989,1994
6,MicroStrategy Incorporated,MicroStrategy,Hot Company,41.77,1,360.39,13.6878,Business Intelligence,MSTR,1989,1995
7,MicroStrategy Incorporated,MicroStrategy,Hot Company,41.77,1,360.39,30.7401,Business Intelligence,MSTR,1989,1996
8,MicroStrategy Incorporated,MicroStrategy,Hot Company,41.77,1,360.39,71.7664,Business Intelligence,MSTR,1989,1997
9,MicroStrategy Incorporated,MicroStrategy,Hot Company,41.77,1,360.39,140.448,Business Intelligence,MSTR,1989,1998
0,Parametric Technology,Parametric,Hot Company,79.7,1,1070.33,0,CAD / EDA,PMTC,1985,1985
1,Parametric Technology,Parametric,Hot Company,79.7,1,1070.33,,CAD / EDA,PMTC,1985,1986
2,Parametric Technology,Parametric,Hot Company,79.7,1,1070.33,,CAD / EDA,PMTC,1985,1987
3,Parametric Technology,Parametric,Hot Company,79.7,1,1070.33,5.76,CAD / EDA,PMTC,1985,1988
4,Parametric Technology,Parametric,Hot Company,79.7,1,1070.33,18.92,CAD / EDA,PMTC,1985,1989
5,Parametric Technology,Parametric,Hot Company,79.7,1,1070.33,41.402,CAD / EDA,PMTC,1985,1990
6,Parametric Technology,Parametric,Hot Company,79.7,1,1070.33,69.732,CAD / EDA,PMTC,1985,1991
7,Parametric Technology,Parametric,Hot Company,79.7,1,1070.33,131.784,CAD / EDA,PMTC,1985,1992
0,Nuance Communications Inc.,Nuance,Hot Company,-30.07,1,868.46,0,Communications,NUAN,1992,1992
1,Nuance Communications Inc.,Nuance,Hot Company,-30.07,1,868.46,,Communications,NUAN,1992,1993
2,Nuance Communications Inc.,Nuance,Hot Company,-30.07,1,868.46,,Communications,NUAN,1992,1994
3,Nuance Communications Inc.,Nuance,Hot Company,-30.07,1,868.46,,Communications,NUAN,1992,1995
4,Nuance Communications Inc.,Nuance,Hot Company,-30.07,1,868.46,2.0373,Communications,NUAN,1992,1996
5,Nuance Communications Inc.,Nuance,Hot Company,-30.07,1,868.46,5.8719,Communications,NUAN,1992,1997
6,Nuance Communications Inc.,Nuance,Hot Company,-30.07,1,868.46,15.6803,Communications,NUAN,1992,1998
7,Nuance Communications Inc.,Nuance,Hot Company,-30.07,1,868.46,25.0458,Communications,NUAN,1992,1999
8,Nuance Communications Inc.,Nuance,Hot Company,-30.07,1,868.46,64.232,Communications,NUAN,1992,2000
0,Open Text Corporation (USA),Open Text,Hot Company,53.01,1,725.53,0.3058,Content Management,OTEX,1991,1991
0,"Digital River, Inc.",Digital River,Hot Company,63.6,1,394.23,0,Content Management,DRIV,1994,1994
1,Open Text Corporation (USA),Open Text,Hot Company,53.01,1,725.53,2.584,Content Management,OTEX,1991,1992
1,"Digital River, Inc.",Digital River,Hot Company,63.6,1,394.23,,Content Management,DRIV,1994,1995
2,Open Text Corporation (USA),Open Text,Hot Company,53.01,1,725.53,2.352,Content Management,OTEX,1991,1993
2,"Digital River, Inc.",Digital River,Hot Company,63.6,1,394.23,0.1292,Content Management,DRIV,1994,1996
3,Open Text Corporation (USA),Open Text,Hot Company,53.01,1,725.53,3.289,Content Management,OTEX,1991,1994
3,"Digital River, Inc.",Digital River,Hot Company,63.6,1,394.23,0.5628,Content Management,DRIV,1994,1997
4,Open Text Corporation (USA),Open Text,Hot Company,53.01,1,725.53,4.76,Content Management,OTEX,1991,1995
4,"Digital River, Inc.",Digital River,Hot Company,63.6,1,394.23,4.488,Content Management,DRIV,1994,1998
5,Open Text Corporation (USA),Open Text,Hot Company,53.01,1,725.53,13.6,Content Management,OTEX,1991,1996
5,"Digital River, Inc.",Digital River,Hot Company,63.6,1,394.23,18.56,Content Management,DRIV,1994,1999
6,Open Text Corporation (USA),Open Text,Hot Company,53.01,1,725.53,30.284,Content Management,OTEX,1991,1997
6,"Digital River, Inc.",Digital River,Hot Company,63.6,1,394.23,38.564,Content Management,DRIV,1994,2000
7,Open Text Corporation (USA),Open Text,Hot Company,53.01,1,725.53,59.796,Content Management,OTEX,1991,1998
7,"Digital River, Inc.",Digital River,Hot Company,63.6,1,394.23,70.516,Content Management,DRIV,1994,2001
8,Open Text Corporation (USA),Open Text,Hot Company,53.01,1,725.53,118.4,Content Management,OTEX,1991,1999
0,"Art Technology Group, Inc.",Art Technology,Hot Company,3.8,1,164.64,0,CRM,ARTG,1991,1991
