Likert Scale,Count Negative,Numerical Responses - Text,Quota Carrying Role - Yes/No Question View Filter Only,Quota Carrying Role,WFH Prior to Current Situation,Number of Records,WFH Prior to Current Situation - Question View Filter Only,Response (group),Emp Hash,Other,Question,Question Text,Question Type,Region,Numeric Response Value,Numeric Responses Text,Response
,0,"ys, I am Ohana@Home",,Yes,"Always, I am Ohana@Home",1,"WAlways, I am Ohana@Home","Always, I am Ohana@Home",00b05300ed8c29a20e88f515581dda47,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,"Always, I am Ohana@Home","always, i am ohana@home","Always, I am Ohana@Home"
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,0164c866f1068dcff562b6ea0cb17a48,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,034326b8fb64167667674dc334104436,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,03e559fbf3a0f32b0d2cf6c505bdca05,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,04017933972c66790a336dec2311c81e,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,0442125136290875a9ea141353110eee,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,04a917f9692f01b6e1833fa60611885e,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,04df874cff3f2785294af2c5eeacc341,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,y a week,,Yes,1 day a week,1,1 day a week,1 day a week,04f6cc6901de6ad169e07c834ce03d81,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,055069e495d8669bdc9fd345776a2fa7,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
