Abbreviation,LOG FULL,LOG MIN,DIFFERENCE,Difference,Full coverage,Minimum coverage,Number of Records,Rank,Row,Space,State (Sheet1),State
AK,3.176669933,2.685741739,▲ 210%,"$1,016","$1,502",$485,1,45,1,1,Alaska,Alaska
ME,3.103119254,2.689308859,▲ 159%,$779,"$1,268",$489,1,51,1,12,Maine,Maine
VT,3.247727833,2.741939078,▲ 220%,"$1,217","$1,769",$552,1,41,2,11,Vermont,Vermont
NH,3.301897717,2.808210973,▲ 212%,"$1,361","$2,004",$643,1,35,2,12,New Hampshire,New Hampshire
WA,3.228143608,2.848804701,▲ 140%,$985,"$1,691",$706,1,42,3,2,Washington,Washington
ID,3.249687428,2.782472624,▲ 193%,"$1,171","$1,777",$606,1,40,3,3,Idaho,Idaho
MT,3.402261382,2.806858030,▲ 294%,"$1,884","$2,525",$641,1,18,3,4,Montana,Montana
ND,3.296445794,2.722633923,▲ 275%,"$1,451","$1,979",$528,1,36,3,5,North Dakota,North Dakota
MN,3.356217134,2.992553518,▲ 131%,"$1,289","$2,271",$983,1,23,3,6,Minnesota,Minnesota
IL,3.364175633,2.943494516,▲ 163%,"$1,435","$2,313",$878,1,22,3,7,Illinois,Illinois
WI,3.201397124,2.686636269,▲ 227%,"$1,104","$1,590",$486,1,44,3,8,Wisconsin,Wisconsin
MI,3.940665872,3.722798397,▲ 65%,"$3,441","$8,723","$5,282",1,1,3,9,Michigan,Michigan
NY,3.439648430,3.121559844,▲ 108%,"$1,429","$2,752","$1,323",1,10,3,10,New York,New York
RI,3.585122186,3.201123897,▲ 142%,"$2,258","$3,847","$1,589",1,2,3,11,Rhode Island,Rhode Island
MA,3.270911639,2.810232518,▲ 189%,"$1,219","$1,866",$646,1,37,3,12,Massachusetts,Massachusetts
OR,3.343408594,3.055378331,▲ 94%,"$1,070","$2,205","$1,136",1,26,4,2,Oregon,Oregon
NV,3.503790683,3.112269768,▲ 146%,"$1,895","$3,190","$1,295",1,6,4,3,Nevada,Nevada
WY,3.325925956,2.685741739,▲ 337%,"$1,632","$2,118",$485,1,30,4,4,Wyoming,Wyoming
SD,3.368844507,2.623249290,▲ 457%,"$1,917","$2,338",$420,1,21,4,5,South Dakota,South Dakota
