Outcome,Error rate,Correct Answer,Country,Estimate/Guess,Number of Records,Respondent code,Response Type,Topic
No answer given,No answer given,23,Colombia,,1,101,3,Early marriage rate in 2015
Under,Greater than 50%,23,Colombia,5,1,102,2,Early marriage rate in 2015
Over,Greater than 50%,23,Colombia,80,1,103,1,Early marriage rate in 2015
Over,5 to 10%,23,Colombia,25,1,104,2,Early marriage rate in 2015
Over,25 to 50%,23,Colombia,30,1,105,2,Early marriage rate in 2015
No answer given,No answer given,23,Colombia,,1,106,2,Early marriage rate in 2015
Over,25 to 50%,23,Colombia,30,1,107,3,Early marriage rate in 2015
Under,10 to 25%,23,Colombia,20,1,108,2,Early marriage rate in 2015
Over,5 to 10%,23,Colombia,25,1,109,2,Early marriage rate in 2015
Under,10 to 25%,23,Colombia,20,1,110,2,Early marriage rate in 2015
Under,Greater than 50%,23,Colombia,8,1,111,2,Early marriage rate in 2015
Under,10 to 25%,23,Colombia,18,1,112,2,Early marriage rate in 2015
No answer given,No answer given,23,Colombia,,1,113,3,Early marriage rate in 2015
No answer given,No answer given,23,Colombia,,1,114,2,Early marriage rate in 2015
No answer given,No answer given,23,Colombia,,1,115,3,Early marriage rate in 2015
Under,Greater than 50%,23,Colombia,4,1,116,2,Early marriage rate in 2015
Over,Greater than 50%,23,Colombia,35,1,117,3,Early marriage rate in 2015
Under,Greater than 50%,23,Colombia,10,1,118,2,Early marriage rate in 2015
Over,Greater than 50%,23,Colombia,38,1,119,2,Early marriage rate in 2015
No answer given,No answer given,23,Colombia,,1,120,2,Early marriage rate in 2015
No answer given,No answer given,47,India,,1,301,2,Early marriage rate in 2015
No answer given,No answer given,47,India,,1,302,2,Early marriage rate in 2015
Under,25 to 50%,47,India,26,1,303,1,Early marriage rate in 2015
Under,Greater than 50%,47,India,15,1,304,1,Early marriage rate in 2015
Over,25 to 50%,47,India,65,1,305,1,Early marriage rate in 2015
Under,10 to 25%,47,India,40,1,306,2,Early marriage rate in 2015
Over,5 to 10%,47,India,50,1,307,2,Early marriage rate in 2015
Over,25 to 50%,47,India,60,1,308,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,20,1,309,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,20,1,310,2,Early marriage rate in 2015
Under,25 to 50%,47,India,25,1,311,3,Early marriage rate in 2015
No answer given,No answer given,47,India,,1,312,2,Early marriage rate in 2015
No answer given,No answer given,47,India,,1,313,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,5,1,314,2,Early marriage rate in 2015
Over,5 to 10%,47,India,50,1,315,3,Early marriage rate in 2015
Under,10 to 25%,47,India,40,1,316,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,10,1,317,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,20,1,318,3,Early marriage rate in 2015
Under,25 to 50%,47,India,30,1,319,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,12,1,320,3,Early marriage rate in 2015
Under,Greater than 50%,47,India,21,1,321,2,Early marriage rate in 2015
No answer given,No answer given,47,India,,1,322,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,5,1,323,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,3,1,324,2,Early marriage rate in 2015
Under,10 to 25%,47,India,42,1,325,2,Early marriage rate in 2015
No answer given,No answer given,47,India,,1,326,3,Early marriage rate in 2015
No answer given,No answer given,26,Kenya,,1,201,2,Early marriage rate in 2015
No answer given,No answer given,26,Kenya,,1,202,2,Early marriage rate in 2015
Over,Greater than 50%,26,Kenya,50,1,203,1,Early marriage rate in 2015
