Death Count,Group,Number of Records,Record ID
1000,Jews,1,1
2000,Jews,1,2
3000,Jews,1,3
4000,Jews,1,4
5000,Jews,1,5
6000,Jews,1,6
7000,Jews,1,7
8000,Jews,1,8
9000,Jews,1,9
10000,Jews,1,10
11000,Jews,1,11
12000,Jews,1,12
13000,Jews,1,13
14000,Jews,1,14
15000,Jews,1,15
16000,Jews,1,16
17000,Jews,1,17
18000,Jews,1,18
19000,Jews,1,19
20000,Jews,1,20
21000,Jews,1,21
22000,Jews,1,22
23000,Jews,1,23
24000,Jews,1,24
25000,Jews,1,25
26000,Jews,1,26
27000,Jews,1,27
28000,Jews,1,28
29000,Jews,1,29
30000,Jews,1,30
31000,Jews,1,31
32000,Jews,1,32
33000,Jews,1,33
34000,Jews,1,34
35000,Jews,1,35
36000,Jews,1,36
37000,Jews,1,37
38000,Jews,1,38
39000,Jews,1,39
40000,Jews,1,40
41000,Jews,1,41
42000,Jews,1,42
43000,Jews,1,43
44000,Jews,1,44
45000,Jews,1,45
46000,Jews,1,46
47000,Jews,1,47
48000,Jews,1,48
49000,Jews,1,49
50000,Jews,1,50
51000,Jews,1,51
52000,Jews,1,52
53000,Jews,1,53
54000,Jews,1,54
55000,Jews,1,55
56000,Jews,1,56
57000,Jews,1,57
58000,Jews,1,58
59000,Jews,1,59
60000,Jews,1,60
61000,Jews,1,61
62000,Jews,1,62
63000,Jews,1,63
64000,Jews,1,64
65000,Jews,1,65
66000,Jews,1,66
67000,Jews,1,67
68000,Jews,1,68
69000,Jews,1,69
70000,Jews,1,70
71000,Jews,1,71
72000,Jews,1,72
73000,Jews,1,73
74000,Jews,1,74
75000,Jews,1,75
76000,Jews,1,76
77000,Jews,1,77
78000,Jews,1,78
79000,Jews,1,79
80000,Jews,1,80
81000,Jews,1,81
82000,Jews,1,82
83000,Jews,1,83
84000,Jews,1,84
85000,Jews,1,85
86000,Jews,1,86
87000,Jews,1,87
88000,Jews,1,88
89000,Jews,1,89
90000,Jews,1,90
91000,Jews,1,91
92000,Jews,1,92
93000,Jews,1,93
94000,Jews,1,94
95000,Jews,1,95
96000,Jews,1,96
97000,Jews,1,97
98000,Jews,1,98
99000,Jews,1,99
100000,Jews,1,100
101000,Jews,1,101
102000,Jews,1,102
103000,Jews,1,103
104000,Jews,1,104
105000,Jews,1,105
106000,Jews,1,106
107000,Jews,1,107
108000,Jews,1,108
109000,Jews,1,109
110000,Jews,1,110
111000,Jews,1,111
112000,Jews,1,112
113000,Jews,1,113
114000,Jews,1,114
115000,Jews,1,115
116000,Jews,1,116
117000,Jews,1,117
118000,Jews,1,118
119000,Jews,1,119
120000,Jews,1,120
121000,Jews,1,121
122000,Jews,1,122
123000,Jews,1,123
124000,Jews,1,124
125000,Jews,1,125
126000,Jews,1,126
127000,Jews,1,127
128000,Jews,1,128
129000,Jews,1,129
130000,Jews,1,130
131000,Jews,1,131
132000,Jews,1,132
133000,Jews,1,133
134000,Jews,1,134
135000,Jews,1,135
136000,Jews,1,136
137000,Jews,1,137
138000,Jews,1,138
139000,Jews,1,139
140000,Jews,1,140
141000,Jews,1,141
142000,Jews,1,142
143000,Jews,1,143
144000,Jews,1,144
145000,Jews,1,145
146000,Jews,1,146
147000,Jews,1,147
148000,Jews,1,148
149000,Jews,1,149
150000,Jews,1,150
151000,Jews,1,151
152000,Jews,1,152
153000,Jews,1,153
154000,Jews,1,154
155000,Jews,1,155
156000,Jews,1,156
157000,Jews,1,157
158000,Jews,1,158
159000,Jews,1,159
160000,Jews,1,160
161000,Jews,1,161
162000,Jews,1,162
163000,Jews,1,163
164000,Jews,1,164
165000,Jews,1,165
166000,Jews,1,166
167000,Jews,1,167
168000,Jews,1,168
169000,Jews,1,169
170000,Jews,1,170
171000,Jews,1,171
172000,Jews,1,172
173000,Jews,1,173
174000,Jews,1,174
175000,Jews,1,175
176000,Jews,1,176
177000,Jews,1,177
178000,Jews,1,178
179000,Jews,1,179
180000,Jews,1,180
181000,Jews,1,181
182000,Jews,1,182
183000,Jews,1,183
184000,Jews,1,184
185000,Jews,1,185
186000,Jews,1,186
187000,Jews,1,187
188000,Jews,1,188
189000,Jews,1,189
190000,Jews,1,190
191000,Jews,1,191
192000,Jews,1,192
193000,Jews,1,193
194000,Jews,1,194
195000,Jews,1,195
196000,Jews,1,196
197000,Jews,1,197
198000,Jews,1,198
199000,Jews,1,199
200000,Jews,1,200
201000,Jews,1,201
202000,Jews,1,202
203000,Jews,1,203
204000,Jews,1,204
205000,Jews,1,205
206000,Jews,1,206
207000,Jews,1,207
208000,Jews,1,208
209000,Jews,1,209
210000,Jews,1,210
211000,Jews,1,211
212000,Jews,1,212
213000,Jews,1,213
214000,Jews,1,214
215000,Jews,1,215
216000,Jews,1,216
217000,Jews,1,217
218000,Jews,1,218
219000,Jews,1,219
220000,Jews,1,220
221000,Jews,1,221
222000,Jews,1,222
223000,Jews,1,223
224000,Jews,1,224
225000,Jews,1,225
226000,Jews,1,226
227000,Jews,1,227
228000,Jews,1,228
229000,Jews,1,229
230000,Jews,1,230
231000,Jews,1,231
232000,Jews,1,232
233000,Jews,1,233
234000,Jews,1,234
235000,Jews,1,235
236000,Jews,1,236
237000,Jews,1,237
238000,Jews,1,238
239000,Jews,1,239
240000,Jews,1,240
241000,Jews,1,241
242000,Jews,1,242
243000,Jews,1,243
244000,Jews,1,244
245000,Jews,1,245
246000,Jews,1,246
247000,Jews,1,247
248000,Jews,1,248
249000,Jews,1,249
250000,Jews,1,250
251000,Jews,1,251
252000,Jews,1,252
253000,Jews,1,253
254000,Jews,1,254
255000,Jews,1,255
256000,Jews,1,256
257000,Jews,1,257
258000,Jews,1,258
259000,Jews,1,259
260000,Jews,1,260
261000,Jews,1,261
262000,Jews,1,262
263000,Jews,1,263
264000,Jews,1,264
265000,Jews,1,265
266000,Jews,1,266
267000,Jews,1,267
268000,Jews,1,268
269000,Jews,1,269
270000,Jews,1,270
271000,Jews,1,271
272000,Jews,1,272
273000,Jews,1,273
274000,Jews,1,274
275000,Jews,1,275
276000,Jews,1,276
277000,Jews,1,277
278000,Jews,1,278
279000,Jews,1,279
280000,Jews,1,280
281000,Jews,1,281
282000,Jews,1,282
283000,Jews,1,283
284000,Jews,1,284
285000,Jews,1,285
286000,Jews,1,286
287000,Jews,1,287
288000,Jews,1,288
289000,Jews,1,289
290000,Jews,1,290
291000,Jews,1,291
292000,Jews,1,292
293000,Jews,1,293
294000,Jews,1,294
295000,Jews,1,295
296000,Jews,1,296
297000,Jews,1,297
298000,Jews,1,298
299000,Jews,1,299
300000,Jews,1,300
301000,Jews,1,301
302000,Jews,1,302
303000,Jews,1,303
304000,Jews,1,304
305000,Jews,1,305
306000,Jews,1,306
307000,Jews,1,307
308000,Jews,1,308
309000,Jews,1,309
310000,Jews,1,310
311000,Jews,1,311
312000,Jews,1,312
313000,Jews,1,313
314000,Jews,1,314
315000,Jews,1,315
316000,Jews,1,316
317000,Jews,1,317
318000,Jews,1,318
319000,Jews,1,319
320000,Jews,1,320
321000,Jews,1,321
322000,Jews,1,322
323000,Jews,1,323
324000,Jews,1,324
325000,Jews,1,325
326000,Jews,1,326
327000,Jews,1,327
328000,Jews,1,328
329000,Jews,1,329
330000,Jews,1,330
331000,Jews,1,331
332000,Jews,1,332
333000,Jews,1,333
334000,Jews,1,334
335000,Jews,1,335
336000,Jews,1,336
337000,Jews,1,337
338000,Jews,1,338
339000,Jews,1,339
340000,Jews,1,340
341000,Jews,1,341
342000,Jews,1,342
343000,Jews,1,343
344000,Jews,1,344
345000,Jews,1,345
346000,Jews,1,346
347000,Jews,1,347
348000,Jews,1,348
349000,Jews,1,349
350000,Jews,1,350
351000,Jews,1,351
352000,Jews,1,352
353000,Jews,1,353
354000,Jews,1,354
355000,Jews,1,355
356000,Jews,1,356
357000,Jews,1,357
358000,Jews,1,358
359000,Jews,1,359
360000,Jews,1,360
361000,Jews,1,361
362000,Jews,1,362
363000,Jews,1,363
364000,Jews,1,364
365000,Jews,1,365
366000,Jews,1,366
367000,Jews,1,367
368000,Jews,1,368
369000,Jews,1,369
370000,Jews,1,370
371000,Jews,1,371
372000,Jews,1,372
373000,Jews,1,373
374000,Jews,1,374
375000,Jews,1,375
376000,Jews,1,376
377000,Jews,1,377
378000,Jews,1,378
379000,Jews,1,379
380000,Jews,1,380
381000,Jews,1,381
382000,Jews,1,382
383000,Jews,1,383
384000,Jews,1,384
385000,Jews,1,385
386000,Jews,1,386
387000,Jews,1,387
388000,Jews,1,388
389000,Jews,1,389
390000,Jews,1,390
391000,Jews,1,391
392000,Jews,1,392
393000,Jews,1,393
394000,Jews,1,394
395000,Jews,1,395
396000,Jews,1,396
397000,Jews,1,397
398000,Jews,1,398
399000,Jews,1,399
400000,Jews,1,400
401000,Jews,1,401
402000,Jews,1,402
403000,Jews,1,403
404000,Jews,1,404
405000,Jews,1,405
406000,Jews,1,406
407000,Jews,1,407
408000,Jews,1,408
409000,Jews,1,409
410000,Jews,1,410
411000,Jews,1,411
412000,Jews,1,412
413000,Jews,1,413
414000,Jews,1,414
415000,Jews,1,415
416000,Jews,1,416
417000,Jews,1,417
418000,Jews,1,418
419000,Jews,1,419
420000,Jews,1,420
421000,Jews,1,421
422000,Jews,1,422
423000,Jews,1,423
424000,Jews,1,424
425000,Jews,1,425
426000,Jews,1,426
427000,Jews,1,427
428000,Jews,1,428
429000,Jews,1,429
430000,Jews,1,430
431000,Jews,1,431
432000,Jews,1,432
433000,Jews,1,433
434000,Jews,1,434
435000,Jews,1,435
436000,Jews,1,436
437000,Jews,1,437
438000,Jews,1,438
439000,Jews,1,439
440000,Jews,1,440
441000,Jews,1,441
442000,Jews,1,442
443000,Jews,1,443
444000,Jews,1,444
445000,Jews,1,445
446000,Jews,1,446
447000,Jews,1,447
448000,Jews,1,448
449000,Jews,1,449
450000,Jews,1,450
451000,Jews,1,451
452000,Jews,1,452
453000,Jews,1,453
454000,Jews,1,454
455000,Jews,1,455
456000,Jews,1,456
457000,Jews,1,457
458000,Jews,1,458
459000,Jews,1,459
460000,Jews,1,460
461000,Jews,1,461
462000,Jews,1,462
463000,Jews,1,463
464000,Jews,1,464
465000,Jews,1,465
466000,Jews,1,466
467000,Jews,1,467
468000,Jews,1,468
469000,Jews,1,469
470000,Jews,1,470
471000,Jews,1,471
472000,Jews,1,472
473000,Jews,1,473
474000,Jews,1,474
475000,Jews,1,475
476000,Jews,1,476
477000,Jews,1,477
478000,Jews,1,478
479000,Jews,1,479
480000,Jews,1,480
481000,Jews,1,481
482000,Jews,1,482
483000,Jews,1,483
484000,Jews,1,484
485000,Jews,1,485
486000,Jews,1,486
487000,Jews,1,487
488000,Jews,1,488
489000,Jews,1,489
490000,Jews,1,490
491000,Jews,1,491
492000,Jews,1,492
493000,Jews,1,493
494000,Jews,1,494
495000,Jews,1,495
496000,Jews,1,496
497000,Jews,1,497
498000,Jews,1,498
499000,Jews,1,499
500000,Jews,1,500
501000,Jews,1,501
502000,Jews,1,502
503000,Jews,1,503
504000,Jews,1,504
505000,Jews,1,505
506000,Jews,1,506
507000,Jews,1,507
508000,Jews,1,508
509000,Jews,1,509
510000,Jews,1,510
511000,Jews,1,511
512000,Jews,1,512
513000,Jews,1,513
514000,Jews,1,514
515000,Jews,1,515
516000,Jews,1,516
517000,Jews,1,517
518000,Jews,1,518
519000,Jews,1,519
520000,Jews,1,520
521000,Jews,1,521
522000,Jews,1,522
523000,Jews,1,523
524000,Jews,1,524
525000,Jews,1,525
526000,Jews,1,526
527000,Jews,1,527
528000,Jews,1,528
529000,Jews,1,529
530000,Jews,1,530
531000,Jews,1,531
532000,Jews,1,532
533000,Jews,1,533
534000,Jews,1,534
535000,Jews,1,535
536000,Jews,1,536
537000,Jews,1,537
538000,Jews,1,538
539000,Jews,1,539
540000,Jews,1,540
541000,Jews,1,541
542000,Jews,1,542
543000,Jews,1,543
544000,Jews,1,544
545000,Jews,1,545
546000,Jews,1,546
547000,Jews,1,547
548000,Jews,1,548
549000,Jews,1,549
550000,Jews,1,550
551000,Jews,1,551
552000,Jews,1,552
553000,Jews,1,553
554000,Jews,1,554
555000,Jews,1,555
556000,Jews,1,556
557000,Jews,1,557
558000,Jews,1,558
559000,Jews,1,559
560000,Jews,1,560
561000,Jews,1,561
562000,Jews,1,562
563000,Jews,1,563
564000,Jews,1,564
565000,Jews,1,565
566000,Jews,1,566
567000,Jews,1,567
568000,Jews,1,568
569000,Jews,1,569
570000,Jews,1,570
571000,Jews,1,571
572000,Jews,1,572
573000,Jews,1,573
574000,Jews,1,574
575000,Jews,1,575
576000,Jews,1,576
577000,Jews,1,577
578000,Jews,1,578
579000,Jews,1,579
580000,Jews,1,580
