Home > Away,Season Start,Label,More Home than Away,HOME V AWAY,Home < Away,Number of Records,Home Attendance,Home Games,Rank,Road Attendance,Road Games,Season,Team,Total Attendance,Total Games
Home,1/1/2017,0,1,164021,,1,887794,41,1,723773,41,2017-18,Chicago,1611567,82
Home,1/1/2017,0,1,139547,,1,873283,41,2,733736,41,2017-18,Montreal,1607019,82
Home,1/1/2017,0,1,48319,,1,761104,41,11,712785,41,2017-18,Buffalo,1473889,82
Home,1/1/2014,0,1,63794,,1,767149,41,10,703355,41,2014-15,Vancouver,1470504,82
Home,1/1/2014,0,1,65133,,1,767012,41,11,701879,41,2014-15,San Jose,1468891,82
Home,1/1/2014,0,1,25770,,1,763319,41,12,737549,41,2014-15,Pittsburgh,1500868,82
Home,1/1/2014,0,1,54723,,1,761809,41,13,707086,41,2014-15,Buffalo,1468895,82
Home,1/1/2014,0,1,54780,,1,760349,41,14,705569,41,2014-15,St. Louis,1465918,82
,1/1/2014,0,0,-12600,Road,1,748893,41,15,761493,41,2014-15,Los Angeles,1510386,82
Home,1/1/2014,0,1,48734,,1,748112,41,16,699378,41,2014-15,Ottawa,1447490,82
Home,1/1/2014,0,1,7134,,1,738246,41,17,731112,41,2014-15,NY Rangers,1469358,82
,1/1/2014,0,0,-17507,Road,1,720165,41,18,737672,41,2014-15,Boston,1457837,82
,1/1/2014,0,0,-10938,Road,1,711359,41,19,722297,41,2014-15,Dallas,1433656,82
Home,1/1/2017,0,1,34796,,1,752624,41,12,717828,41,2017-18,St. Louis,1470452,82
,1/1/2014,0,0,-15784,Road,1,691835,41,20,707619,41,2014-15,Anaheim,1399454,82
,1/1/2014,0,0,-6218,Road,1,691028,41,21,697246,41,2014-15,Nashville,1388274,82
,1/1/2014,0,0,-10783,Road,1,690399,41,22,701182,41,2014-15,Edmonton,1391581,82
,1/1/2014,0,0,-49169,Road,1,663247,41,23,712416,41,2014-15,Colorado,1375663,82
,1/1/2014,0,0,-63774,Road,1,635973,41,24,699747,41,2014-15,Columbus,1335720,82
,1/1/2014,0,0,-94429,Road,1,628729,41,25,723158,41,2014-15,NY Islanders,1351887,82
,1/1/2014,0,0,-84754,Road,1,622783,41,26,707537,41,2014-15,New Jersey,1330320,82
,1/1/2014,0,0,-97131,Road,1,616556,41,27,713687,41,2014-15,Winnipeg,1330243,82
,1/1/2014,0,0,-165349,Road,1,547149,41,28,712498,41,2014-15,Arizona,1259647,82
,1/1/2014,0,0,-193827,Road,1,516375,41,29,710202,41,2014-15,Carolina,1226577,82
Home,1/1/2017,0,1,21853,,1,752227,41,13,730374,41,2017-18,Edmonton,1482601,82
,1/1/2014,0,0,-270383,Road,1,461877,41,30,732260,41,2014-15,Florida,1194137,82
Home,1/1/2013,0,1,197294,,1,927545,41,1,730251,41,2013-14,Chicago,1657796,82
Home,1/1/2013,0,1,176814,,1,908131,41,2,731317,41,2013-14,Detroit,1639448,82
