Date Day,Signup Link,Contact,Turbine Labs,Number of Records,Articles,Date,Keyword,Topic
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,22,4/1/2020,oil price,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,3460,4/1/2020,,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,22,4/1/2020,social medium,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,21,4/1/2020,mcdonald tackle,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,21,4/1/2020,rumour possible,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,20,4/1/2020,small business,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,16,4/1/2020,stock market,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,16,4/1/2020,supply chain,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,15,4/1/2020,amid crisis,ECONOMY
13,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,33,4/13/2020,oil price,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,14,4/1/2020,universal credit,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,14,4/1/2020,force majeure,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,13,4/1/2020,withdraws fy,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,12,4/1/2020,central bank,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,12,4/1/2020,car sale,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,12,4/1/2020,wall street,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,19,4/1/2020,self isolation,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,1227,4/1/2020,,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,10,4/1/2020,donates million,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,10,4/1/2020,vulnerable people,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,9,4/1/2020,help fight,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,9,4/1/2020,self isolating,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,8,4/1/2020,new zealand,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,8,4/1/2020,amid lockdown,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,8,4/1/2020,nh staff,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,8,4/1/2020,social distancing,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,7,4/1/2020,tablighi jamaat,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,7,4/1/2020,drdo develops,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,7,4/1/2020,bio suit,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,7,4/1/2020,care fund,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,7,4/1/2020,sad homicide,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,6,4/1/2020,care home,POSITIVE STORIES
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,46,4/1/2020,pm modi,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,2343,4/1/2020,,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,30,4/1/2020,donald trump,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,25,4/1/2020,health minister,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,21,4/1/2020,tablighi jamaat,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,18,4/1/2020,prime minister,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,17,4/1/2020,stay home,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,15,4/1/2020,social distancing,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,12,4/1/2020,pier morgan,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,12,4/1/2020,amid lockdown,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,12,4/1/2020,stimulus package,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,11,4/1/2020,amid crisis,POLITICS
13,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,3644,4/13/2020,,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,11,4/1/2020,sonia gandhi,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,11,4/1/2020,white house,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,10,4/1/2020,migrant worker,POLITICS
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,79,4/1/2020,new case,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,3814,4/1/2020,,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,55,4/1/2020,confirmed case,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,55,4/1/2020,test positive,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,55,4/1/2020,death toll,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,48,4/1/2020,case death,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,45,4/1/2020,positive case,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,35,4/1/2020,health ministry,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,34,4/1/2020,daily update,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,31,4/1/2020,stay home,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,31,4/1/2020,tablighi jamaat,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,30,4/1/2020,case rise,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,26,4/1/2020,medium information,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,26,4/1/2020,future item,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,26,4/1/2020,live update,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,23,4/1/2020,new york,GENERAL
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,55,4/1/2020,test positive,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,3055,4/1/2020,,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,37,4/1/2020,death toll,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,31,4/1/2020,face mask,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,31,4/1/2020,confirmed case,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,27,4/1/2020,new case,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,27,4/1/2020,health worker,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,23,4/1/2020,clinical trial,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,20,4/1/2020,tested positive,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,19,4/1/2020,social distancing,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,19,4/1/2020,new york,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,19,4/1/2020,mental health,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,17,4/1/2020,positive case,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,16,4/1/2020,testing positive,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,16,4/1/2020,health care,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,15,4/1/2020,report new,PUBLIC HEALTH
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,38,4/1/2020,amid pandemic,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,3940,4/1/2020,,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,31,4/1/2020,premier league,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,29,4/1/2020,wimbledon cancelled,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,22,4/1/2020,amid crisis,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,20,4/1/2020,stay home,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,19,4/1/2020,social distancing,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,18,4/1/2020,aldi relaxes,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,18,4/1/2020,restriction product,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,17,4/1/2020,supermarket changed,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,16,4/1/2020,opening hour,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,16,4/1/2020,asda aldi,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,16,4/1/2020,hong kong,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,15,4/1/2020,amid lockdown,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,15,4/1/2020,revealed new,WAY OF LIFE DISRUPTION
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,15,4/1/2020,tesco sainsbury,WAY OF LIFE DISRUPTION
13,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,23,4/13/2020,small business,ECONOMY
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,892,4/1/2020,,BUSINESS LEADERSHIP
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,12,4/1/2020,amid pandemic,BUSINESS LEADERSHIP
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,11,4/1/2020,relief fund,BUSINESS LEADERSHIP
1,Sign up to receive Turbine Lab’s daily Covid-19 Executive Briefing,"For information about our methodology, please contact us",Learn more about Turbine Labs and the fight against Covid-19,1,9,4/1/2020,care fund,BUSINESS LEADERSHIP
